Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o.","LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o.",,"Industrijska cesta 2, 6230 Postojna",", LIV KOLESA, proizvodnja, predelava in trgovina, d.o.o."
"DOMICIJAN, potovalna in turistična agencija ter zobozdravstvo, d.o.o.","DOMICIJAN, potovalna in turistična agencija ter zobozdravstvo, d.o.o.",,"Pante 11, 4000 Kranj",", DOMICIJAN, potovalna in turistična agencija ter zobozdravstvo, d.o.o."
"ATAMA agencija za zaposlovanje, d.o.o., Ljubljana","ATAMA agencija za zaposlovanje, d.o.o., Ljubljana",,"Slovenska cesta 55 C, 1000 Ljubljana",", ATAMA agencija za zaposlovanje, d.o.o., Ljubljana"
BIA SEPARATIONS Podjetje za separacijske tehnologije d.o.o.,BIA SEPARATIONS Podjetje za separacijske tehnologije d.o.o.,,"Mirce 21, 5270 Ajdovščina",", BIA SEPARATIONS Podjetje za separacijske tehnologije d.o.o."
DR.PAVŠIČ zobozdravstvena dejavnost d.o.o.,DR.PAVŠIČ zobozdravstvena dejavnost d.o.o.,,"Litijska cesta 43, 1000 Ljubljana",", DR.PAVŠIČ zobozdravstvena dejavnost d.o.o."
"ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika","ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika",,"Med vrtovi 8, 1360 Vrhnika",", ZOB d.o.o., družba za zobozdravstvene storitve Vrhnika"
MEDICINA DELA ROGAŠKA d.o.o.,MEDICINA DELA ROGAŠKA d.o.o.,,"Celjska cesta 10, 3250 Rogaška Slatina",", MEDICINA DELA ROGAŠKA d.o.o."
"ZLATA MONETA II finančna družba, d.o.o.","ZLATA MONETA II finančna družba, d.o.o.",,"Trg Leona Štuklja 12, 2000 Maribor",", ZLATA MONETA II finančna družba, d.o.o."
"Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava","Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava",,"Trimlini 65 A, 9220 Lendava - Lendva",", Nafta Lendava, proizvodnja naftnih derivatov, d.o.o., Lendava"
"STO-SERVIS d.o.o. Storitve, Ljubljana","STO-SERVIS d.o.o. Storitve, Ljubljana",,"Brnčičeva ulica 13, 1231 Ljubljana - Črnuče",", STO-SERVIS d.o.o. Storitve, Ljubljana"
