Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
DOLGAN MILAN - NOTAR,DOLGAN MILAN - NOTAR,,"Dunajska cesta 122, 1000 Ljubljana",", DOLGAN MILAN - NOTAR"
PUPPIS SONJA - NOTARKA,PUPPIS SONJA - NOTARKA,,"Zaloška cesta 54, 1000 Ljubljana",", PUPPIS SONJA - NOTARKA"
PAPEŽ DRAGICA - NOTARKA,PAPEŽ DRAGICA - NOTARKA,,"Opekarska cesta 5, 1000 Ljubljana",", PAPEŽ DRAGICA - NOTARKA"
MARIJA TERNAR - NOTARKA,MARIJA TERNAR - NOTARKA,,"Slomškova ulica 41, 9000 Murska Sobota",", MARIJA TERNAR - NOTARKA"
FLORJANČIČ CIRMAN IRENA - NOTARKA,FLORJANČIČ CIRMAN IRENA - NOTARKA,,"Cigaletova ulica 11, 1000 Ljubljana",", FLORJANČIČ CIRMAN IRENA - NOTARKA"
POLJŠAK DERGANC MAGDA - NOTARKA,POLJŠAK DERGANC MAGDA - NOTARKA,,"Miklošičeva cesta 8 A, 1000 Ljubljana",", POLJŠAK DERGANC MAGDA - NOTARKA"
NOTAR DOMINIK GREŠOVNIK,NOTAR DOMINIK GREŠOVNIK,,"Francetova cesta 4, 2380 Slovenj Gradec",", NOTAR DOMINIK GREŠOVNIK"
KATJUŠA GORJAN - NOTARKA,KATJUŠA GORJAN - NOTARKA,,"Ulica XXX. divizije 23, 5000 Nova Gorica",", KATJUŠA GORJAN - NOTARKA"
KOBALEJ ŠTEHARNIK DARINKA - NOTARKA,KOBALEJ ŠTEHARNIK DARINKA - NOTARKA,,"Razlagova ulica 5, 2000 Maribor",", KOBALEJ ŠTEHARNIK DARINKA - NOTARKA"
NOTAR GORAZD ŠIFRER,NOTAR GORAZD ŠIFRER,,"Partizanska cesta 36, 2000 Maribor",", NOTAR GORAZD ŠIFRER"
DARJA JARNOVIČ - NOTARKA,DARJA JARNOVIČ - NOTARKA,,"Novi trg 9, 8000 Novo mesto",", DARJA JARNOVIČ - NOTARKA"
NOTARKA POLONA PAVLIN BOHINC,NOTARKA POLONA PAVLIN BOHINC,,"Delavska cesta 24, 4208 Šenčur",", NOTARKA POLONA PAVLIN BOHINC"
TOMŠIČ EVA SIMONA - NOTARKA,TOMŠIČ EVA SIMONA - NOTARKA,,"Verovškova ulica 55 A, 1000 Ljubljana",", TOMŠIČ EVA SIMONA - NOTARKA"
GREGOR KOVAČ - NOTAR,GREGOR KOVAČ - NOTAR,,"Miklošičeva ulica 1, 3000 Celje",", GREGOR KOVAČ - NOTAR"
NOTARKA ANDREJA CAJHEN,NOTARKA ANDREJA CAJHEN,,"Delpinova ulica 13, 5000 Nova Gorica",", NOTARKA ANDREJA CAJHEN"
DOKLER ANDREJ - NOTAR,DOKLER ANDREJ - NOTAR,,"Maistrova ulica 2, 8250 Brežice",", DOKLER ANDREJ - NOTAR"
