Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"BUREAU VERITAS, Mednarodno podjetje za ocenjevanje skladnosti, certificiranje in usposabljanje s področja kakovosti, okolja ter zdravja in varnosti, d.o.o.","BUREAU VERITAS, Mednarodno podjetje za ocenjevanje skladnosti, certificiranje in usposabljanje s področja kakovosti, okolja ter zdravja in varnosti, d.o.o.",,"Linhartova cesta 49 A, 1000 Ljubljana",", BUREAU VERITAS, Mednarodno podjetje za ocenjevanje skladnosti, certificiranje in usposabljanje s področja kakovosti, okolja ter zdravja in varnosti, d.o.o."
SERVIS IN PRODAJA VODOMEROV BRANKO ZORIN s.p.,SERVIS IN PRODAJA VODOMEROV BRANKO ZORIN s.p.,,"Pečica 1 A, 3241 Podplat",", SERVIS IN PRODAJA VODOMEROV BRANKO ZORIN s.p."
RIBIŠKA DRUŽINA ZAGORJE OB SAVI,RIBIŠKA DRUŽINA ZAGORJE OB SAVI,,"Naselje Srečka Kosovela 2 B, 1410 Zagorje ob Savi",", RIBIŠKA DRUŽINA ZAGORJE OB SAVI"
LOVSKA DRUŽINA BISTRICA OB SOTLI,LOVSKA DRUŽINA BISTRICA OB SOTLI,,"Hrastje ob Bistrici 32, 3256 Bistrica ob Sotli",", LOVSKA DRUŽINA BISTRICA OB SOTLI"
RIBIŠKA DRUŽINA ŽIRI,RIBIŠKA DRUŽINA ŽIRI,,"Pot na Rovt 9, 4226 Žiri",", RIBIŠKA DRUŽINA ŽIRI"
LOVSKA DRUŽINA POLZELA,LOVSKA DRUŽINA POLZELA,,"Založe 36 A, 3313 Polzela",", LOVSKA DRUŽINA POLZELA"
RIBIŠKA DRUŽINA ŠEMPETER V SAVINJSKI DOLINI,RIBIŠKA DRUŽINA ŠEMPETER V SAVINJSKI DOLINI,,"Preserje 9, 3314 Braslovče",", RIBIŠKA DRUŽINA ŠEMPETER V SAVINJSKI DOLINI"
LOVSKA DRUŽINA KRIŽEVCI PRI LJUTOMERU,LOVSKA DRUŽINA KRIŽEVCI PRI LJUTOMERU,,"Iljaševci 63, 9242 Križevci pri Ljutomeru",", LOVSKA DRUŽINA KRIŽEVCI PRI LJUTOMERU"
LOVSKA DRUŽINA VRANSKO,LOVSKA DRUŽINA VRANSKO,,"Tešova 26, 3305 Vransko",", LOVSKA DRUŽINA VRANSKO"
"Lovska družina ""Orlica""-Vuhred","Lovska družina ""Orlica""-Vuhred",,"Sv. Anton na Pohorju 38, 2365 Vuhred",", Lovska družina ""Orlica""-Vuhred"
LOVSKA DRUŽINA DRAMLJE,LOVSKA DRUŽINA DRAMLJE,,"Jazbine 18 A, 3222 Dramlje",", LOVSKA DRUŽINA DRAMLJE"
LOVSKA DRUŽINA BRKINI,LOVSKA DRUŽINA BRKINI,,"Stritarjeva ulica 1, 6250 Ilirska Bistrica",", LOVSKA DRUŽINA BRKINI"
LOVSKA DRUŽINA POBREŽJE MIKLAVŽ,LOVSKA DRUŽINA POBREŽJE MIKLAVŽ,,"Nad izviri 6, 2204 Miklavž na Dravskem polju",", LOVSKA DRUŽINA POBREŽJE MIKLAVŽ"
LOVSKA DRUŽINA KOČEVJE,LOVSKA DRUŽINA KOČEVJE,,"Mahovnik 90, 1330 Kočevje",", LOVSKA DRUŽINA KOČEVJE"
Lovska družina Slovenska Bistrica,Lovska družina Slovenska Bistrica,,"Zgornja Bistrica 25, 2310 Slovenska Bistrica",", Lovska družina Slovenska Bistrica"
Lovska družina Vurmat,Lovska družina Vurmat,,"Vurmat - del 44, 2361 Ožbalt",", Lovska družina Vurmat"
LOVSKA DRUŽINA LUKOVICA,LOVSKA DRUŽINA LUKOVICA,,"Čeplje 34, 1225 Lukovica",", LOVSKA DRUŽINA LUKOVICA"
LOVSKA DRUŽINA VIDEŽ KOZINA,LOVSKA DRUŽINA VIDEŽ KOZINA,,"Obrtniška ulica 2, 6240 Kozina",", LOVSKA DRUŽINA VIDEŽ KOZINA"
LOVSKA DRUŽINA SLAVNIK MATERIJA,LOVSKA DRUŽINA SLAVNIK MATERIJA,,"Materija 18, 6242 Materija",", LOVSKA DRUŽINA SLAVNIK MATERIJA"
LOVSKA DRUŽINA VELIKE POLJANE,LOVSKA DRUŽINA VELIKE POLJANE,,"Ortnek 8, 1316 Ortnek",", LOVSKA DRUŽINA VELIKE POLJANE"
LOVSKA DRUŽINA POLJČANE,LOVSKA DRUŽINA POLJČANE,,"Studenice 22, 2319 Poljčane",", LOVSKA DRUŽINA POLJČANE"
RIBIŠKA DRUŽINA IDRIJA,RIBIŠKA DRUŽINA IDRIJA,,"Srednja Kanomlja 34 A, 5281 Spodnja Idrija",", RIBIŠKA DRUŽINA IDRIJA"
LOVSKA DRUŽINA PREDGRAD,LOVSKA DRUŽINA PREDGRAD,,"Predgrad 29, 8342 Stari trg ob Kolpi",", LOVSKA DRUŽINA PREDGRAD"
LOVSKA DRUŽINA SOČA,LOVSKA DRUŽINA SOČA,,"Soča 11 A, 5232 Soča",", LOVSKA DRUŽINA SOČA"
LOVSKA DRUŽINA TABOR DORNBERK - BRANIK,LOVSKA DRUŽINA TABOR DORNBERK - BRANIK,,"Potok pri Dornberku 30, 5294 Dornberk",", LOVSKA DRUŽINA TABOR DORNBERK - BRANIK"
LOVSKA DRUŽINA ANHOVO,LOVSKA DRUŽINA ANHOVO,,"Paljevo 8, 5210 Deskle",", LOVSKA DRUŽINA ANHOVO"
LOVSKA DRUŽINA PRESTRANEK,LOVSKA DRUŽINA PRESTRANEK,,"Ulica padlih borcev 7, 6258 Prestranek",", LOVSKA DRUŽINA PRESTRANEK"
Lovska družina Oplotnica,Lovska družina Oplotnica,,"Gmajna 22, 2317 Oplotnica",", Lovska družina Oplotnica"
LOVSKA DRUŽINA JEZERO KOMEN,LOVSKA DRUŽINA JEZERO KOMEN,,"Komen 14, 6223 Komen",", LOVSKA DRUŽINA JEZERO KOMEN"
LOVSKA DRUŽINA BENEDIKT,LOVSKA DRUŽINA BENEDIKT,,"Lovska cesta 17, 2234 Benedikt",", LOVSKA DRUŽINA BENEDIKT"
LOVSKA DRUŽINA TRNOVSKI GOZD,LOVSKA DRUŽINA TRNOVSKI GOZD,,"Trnovo 51, 5252 Trnovo pri Gorici",", LOVSKA DRUŽINA TRNOVSKI GOZD"
