Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"KOMUNALA KRANJ, javno podjetje, d.o.o.","KOMUNALA KRANJ, javno podjetje, d.o.o.",,"Ulica Mirka Vadnova 1, 4000 Kranj",", KOMUNALA KRANJ, javno podjetje, d.o.o."
JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica,JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica,,"Notranjska cesta 44, 1380 Cerknica",", JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica"
JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l.,,"Ulica 15.maja 13, 6000 Koper - Capodistria",", JAVNO PODJETJE - AZIENDA PUBLICA RIŽANSKI VODOVOD KOPER d.o.o. - s.r.l."
JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.,JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.,,"Tesarska ulica 10, 1330 Kočevje",", JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o."
"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.",,"Nasipna ulica 64, 2000 Maribor",", SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o."
MARIBORSKI VODOVOD javno podjetje d.d.,MARIBORSKI VODOVOD javno podjetje d.d.,,"Jadranska cesta 24, 2000 Maribor",", MARIBORSKI VODOVOD javno podjetje d.d."
"KOMUNALA, javno podjetje d.o.o.","KOMUNALA, javno podjetje d.o.o.",,"Kopališka ulica 2, 9000 Murska Sobota",", KOMUNALA, javno podjetje d.o.o."
JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.,JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.,,"Mariborska cesta 3, 2360 Radlje ob Dravi",", JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o."
JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.,JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.,,"Goriča vas 11 A, 1310 Ribnica",", JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o."
JAVNO PODJETJE KOMUNALA d.o.o. Sevnica,JAVNO PODJETJE KOMUNALA d.o.o. Sevnica,,"Naselje heroja Maroka 17, 8290 Sevnica",", JAVNO PODJETJE KOMUNALA d.o.o. Sevnica"
"JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE","JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE",,"Celjska cesta 3, 3210 Slovenske Konjice",", JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE"
"JAVNO KOMUNALNO PODJETJE ŽALEC, d.o.o.","JAVNO KOMUNALNO PODJETJE ŽALEC, d.o.o.",,"Ulica Nade Cilenšek 5, 3310 Žalec",", JAVNO KOMUNALNO PODJETJE ŽALEC, d.o.o."
"Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.","Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.",,"Ulica 15.maja 4, 6000 Koper - Capodistria",", Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l."
Javno podjetje KRAŠKI VODOVOD SEŽANA d.o.o.,Javno podjetje KRAŠKI VODOVOD SEŽANA d.o.o.,,"Bazoviška cesta 6, 6210 Sežana",", Javno podjetje KRAŠKI VODOVOD SEŽANA d.o.o."
