Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA,KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA,,"Kopitarjev trg 1, 1217 Vodice",", KRANJEC LEOPOLDINA - ZOBNA ORDINACIJA"
URANKAR LUDVIK - FIZIOTERAPIJA,URANKAR LUDVIK - FIZIOTERAPIJA,,"Ulica OF 8, 1433 Radeče",", URANKAR LUDVIK - FIZIOTERAPIJA"
DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA,DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA,,"Tekstilna ulica 17, 4000 Kranj",", DEBELAK SIMONA - ZOBOZDRAVSTVENA ORDINACIJA"
ZOBOZDRAVSTVENA ORDINACIJA BARBARA LOMBAR DR.DENT.MED.,ZOBOZDRAVSTVENA ORDINACIJA BARBARA LOMBAR DR.DENT.MED.,,"Šolska ulica 9, 4205 Preddvor",", ZOBOZDRAVSTVENA ORDINACIJA BARBARA LOMBAR DR.DENT.MED."
"DIMNIKARSTVO, PRIMOŽ RAUTER S.P.","DIMNIKARSTVO, PRIMOŽ RAUTER S.P.",,"Vodnikova cesta 5, 4264 Bohinjska Bistrica",", DIMNIKARSTVO, PRIMOŽ RAUTER S.P."
VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o.,VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o.,,"Trgovska ulica 1, 2310 Slovenska Bistrica",", VETERINARSKA BOLNICA SLOVENSKA BISTRICA d.o.o."
DOM SV.JOŽEF Duhovno prosvetni center,DOM SV.JOŽEF Duhovno prosvetni center,,"Plečnikova ulica 29, 3000 Celje",", DOM SV.JOŽEF Duhovno prosvetni center"
BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o.,BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o.,,"Ločka cesta 14 A, 8340 Črnomelj",", BELOKRANJSKA VETERINARSKA SLUŽBA ČRNOMELJ d.o.o."
VP DRAVOGRAD veterinarska postaja d.o.o.,VP DRAVOGRAD veterinarska postaja d.o.o.,,"Otiški Vrh 169, 2373 Šentjanž pri Dravogradu",", VP DRAVOGRAD veterinarska postaja d.o.o."
JAMAL TAFI MOHAMED - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA,JAMAL TAFI MOHAMED - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA,,"Bistriška cesta 97, 2319 Poljčane",", JAMAL TAFI MOHAMED - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA"
ZASEBNA ZOBNA ORDINACIJA CVETKA ROGAN DR.DENT.MEDICINE,ZASEBNA ZOBNA ORDINACIJA CVETKA ROGAN DR.DENT.MEDICINE,,"Šalek 8, 3320 Velenje",", ZASEBNA ZOBNA ORDINACIJA CVETKA ROGAN DR.DENT.MEDICINE"
ZASEBNA ZOBNA AMBULANTA STRAHOVNIK MATEJ dr. dent. med.,ZASEBNA ZOBNA AMBULANTA STRAHOVNIK MATEJ dr. dent. med.,,"Vodnikova cesta 1, 3320 Velenje",", ZASEBNA ZOBNA AMBULANTA STRAHOVNIK MATEJ dr. dent. med."
